,Celcius,Fahrenheit,Humidity
2020-03-12 22:48:15.277649+00:00,16.899999618530273,62.419999313354495,43.0
2020-03-12 22:49:23.442772+00:00,16.899999618530273,62.419999313354495,42.599998474121094
2020-03-12 22:50:24.029708+00:00,16.799999237060547,62.23999862670898,42.400001525878906
2020-03-12 22:51:24.568301+00:00,16.700000762939453,62.060001373291016,42.79999923706055
2020-03-12 22:52:25.157337+00:00,16.799999237060547,62.23999862670898,43.0
2020-03-12 22:53:25.746312+00:00,16.700000762939453,62.060001373291016,42.79999923706055
2020-03-12 22:54:26.335295+00:00,16.600000381469727,61.88000068664551,43.29999923706055
2020-03-12 22:55:26.924259+00:00,16.700000762939453,62.060001373291016,42.79999923706055
2020-03-12 22:56:27.513066+00:00,16.399999618530273,61.51999931335449,42.79999923706055
2020-03-12 22:57:33.150074+00:00,16.799999237060547,62.23999862670898,44.099998474121094
2020-03-12 22:58:33.739166+00:00,16.899999618530273,62.419999313354495,43.900001525878906
2020-03-12 22:59:34.327989+00:00,16.899999618530273,62.419999313354495,42.599998474121094
2020-03-12 23:00:34.861325+00:00,16.799999237060547,62.23999862670898,43.099998474121094
2020-03-12 23:01:35.419446+00:00,16.700000762939453,62.060001373291016,43.70000076293945
2020-03-12 23:02:38.533862+00:00,16.700000762939453,62.060001373291016,43.20000076293945
2020-03-12 23:03:39.100951+00:00,16.700000762939453,62.060001373291016,43.29999923706055
2020-03-12 23:04:39.684875+00:00,16.700000762939453,62.060001373291016,43.20000076293945
2020-03-12 23:05:42.801156+00:00,16.600000381469727,61.88000068664551,44.0
2020-03-12 23:06:43.370769+00:00,16.5,61.7,44.0
2020-03-12 23:07:46.483610+00:00,16.600000381469727,61.88000068664551,43.900001525878906
2020-03-12 23:08:49.543583+00:00,16.600000381469727,61.88000068664551,44.099998474121094
2020-03-12 23:09:50.096833+00:00,16.5,61.7,44.099998474121094
2020-03-12 23:10:50.683283+00:00,16.5,61.7,43.900001525878906
2020-03-12 23:11:53.783174+00:00,16.399999618530273,61.51999931335449,44.400001525878906
2020-03-12 23:12:54.364859+00:00,16.399999618530273,61.51999931335449,44.400001525878906
2020-03-12 23:13:57.462292+00:00,16.600000381469727,61.88000068664551,44.70000076293945
2020-03-12 23:14:58.022612+00:00,16.5,61.7,44.70000076293945
2020-03-12 23:16:03.670254+00:00,16.5,61.7,44.099998474121094
2020-03-12 23:17:04.244895+00:00,16.5,61.7,44.20000076293945
2020-03-12 23:18:04.824924+00:00,16.600000381469727,61.88000068664551,44.5
2020-03-12 23:19:07.943836+00:00,16.700000762939453,62.060001373291016,44.599998474121094
2020-03-12 23:20:08.497724+00:00,16.700000762939453,62.060001373291016,44.599998474121094
2020-03-12 23:21:11.617334+00:00,16.700000762939453,62.060001373291016,44.29999923706055
2020-03-12 23:22:12.196274+00:00,16.700000762939453,62.060001373291016,44.29999923706055
2020-03-12 23:23:12.744869+00:00,16.600000381469727,61.88000068664551,44.099998474121094
2020-03-12 23:24:13.322496+00:00,16.600000381469727,61.88000068664551,44.70000076293945
2020-03-12 23:25:13.851431+00:00,16.5,61.7,44.900001525878906
2020-03-12 23:26:14.404749+00:00,16.399999618530273,61.51999931335449,44.79999923706055
2020-03-12 23:27:17.519656+00:00,16.200000762939453,61.16000137329102,45.0
2020-03-12 23:28:18.104869+00:00,16.200000762939453,61.16000137329102,45.099998474121094
2020-03-12 23:29:18.691943+00:00,16.299999237060547,61.33999862670898,45.70000076293945
2020-03-12 23:30:19.279026+00:00,16.299999237060547,61.33999862670898,45.099998474121094
